Name,Career Height,Career Weight,Career Points,Career Games,Career Assists,Career Def Rebounds,Career Off Rebounds,Career Turnovers,Career Blocks,Career Steals,Career Free Throw Percentage,Career Three Point Percentage,Career Field Goal Percentage,Career PER,Career Win Shares,Offensive Win Shares,Defensive Win Shares,Career Usage Percentage,VORP,Box Plus Minus,True Shooting Per,PPG,APG,TPG,BPG,SPG,RPG
Kent Bazemore,76.0,195.0,4761.0,547.0,1004.0,1562.0,195.0,796.0,266.0,560.0,0.726,0.35,0.413,11.8,11.7,-2.9,14.5,20.2,2.1,-1.3,0.52,8.703839122486288,1.8354661791590494,1.4552102376599634,0.48628884826325414,1.023765996343693,3.212065813528336
Alex Len,84.0,250.0,3683.0,461.0,392.0,1950.0,943.0,572.0,459.0,190.0,0.69,0.33,0.495,15.3,17.8,8.6,9.2,18.1,-0.1,-2.0,0.552,7.989154013015185,0.8503253796095445,1.2407809110629067,0.9956616052060737,0.4121475054229935,6.275488069414317
Jabari Parker,80.0,245.0,4208.0,280.0,585.0,1187.0,427.0,512.0,111.0,263.0,0.739,0.324,0.492,16.3,12.8,6.5,6.3,23.5,2.3,-0.9,0.551,15.028571428571428,2.0892857142857144,1.8285714285714285,0.3964285714285714,0.9392857142857143,5.764285714285714
Corey Brewer,81.0,186.0,7092.0,814.0,1248.0,1668.0,611.0,948.0,222.0,1019.0,0.713,0.284,0.425,11.8,22.5,5.6,16.8,18.6,2.0,-1.6,0.502,8.712530712530713,1.5331695331695332,1.1646191646191646,0.2727272727272727,1.2518427518427517,2.7997542997542997
Bryn Forbes,74.0,190.0,2323.0,261.0,386.0,454.0,44.0,185.0,6.0,107.0,0.801,0.4,0.431,10.7,7.4,4.3,3.1,17.6,-0.5,-2.4,0.559,8.900383141762452,1.4789272030651341,0.7088122605363985,0.022988505747126436,0.4099616858237548,1.9080459770114944
Trey Lyles,81.0,234.0,2602.0,351.0,375.0,1211.0,277.0,297.0,123.0,140.0,0.708,0.341,0.433,13.1,10.3,3.3,6.9,19.4,1.3,-1.2,0.527,7.413105413105413,1.0683760683760684,0.8461538461538461,0.3504273504273504,0.39886039886039887,4.239316239316239
DeMar DeRozan,78.0,220.0,16283.0,813.0,2893.0,2938.0,607.0,1669.0,235.0,803.0,0.829,0.283,0.457,18.2,66.5,47.0,19.5,27.1,16.5,0.4,0.541,20.02829028290283,3.5584255842558425,2.052890528905289,0.2890528905289053,0.9876998769987699,4.360393603936039
Derrick White,76.0,190.0,1350.0,145.0,478.0,396.0,70.0,178.0,105.0,110.0,0.814,0.359,0.47,15.3,7.5,4.5,3.0,17.8,2.5,0.9,0.572,9.310344827586206,3.296551724137931,1.2275862068965517,0.7241379310344828,0.7586206896551724,3.213793103448276
Rudy Gay,80.0,230.0,16062.0,939.0,2066.0,4223.0,1312.0,2086.0,716.0,1133.0,0.798,0.345,0.456,16.7,56.4,26.1,30.3,24.5,21.6,0.7,0.536,17.105431309904155,2.2002129925452607,2.2215122470713524,0.7625133120340788,1.2066027689030885,5.894568690095847
Dejounte Murray,76.0,170.0,1403.0,177.0,516.0,653.0,183.0,280.0,53.0,205.0,0.739,0.354,0.456,15.4,5.8,0.3,5.5,20.9,2.0,0.3,0.508,7.926553672316384,2.9152542372881354,1.5819209039548023,0.2994350282485876,1.1581920903954803,4.72316384180791
Jakob Poeltl,85.0,230.0,1461.0,271.0,264.0,753.0,525.0,207.0,272.0,115.0,0.543,0.5,0.638,17.7,15.6,9.6,6.1,13.6,3.3,1.0,0.635,5.391143911439114,0.974169741697417,0.7638376383763837,1.003690036900369,0.42435424354243545,4.715867158671586
LaMarcus Aldridge,83.0,260.0,19599.0,1003.0,1985.0,5676.0,2684.0,1572.0,1111.0,733.0,0.811,0.312,0.491,20.8,111.4,70.4,41.1,25.9,32.4,1.7,0.543,19.54037886340977,1.9790628115653042,1.5672981056829511,1.1076769690927217,0.7308075772681955,8.334995014955135
Chimezie Metu,81.0,225.0,97.0,45.0,19.0,43.0,19.0,20.0,6.0,7.0,0.76,0.0,0.419,12.8,-0.1,-0.3,0.2,24.9,-0.2,-4.8,0.466,2.1555555555555554,0.4222222222222222,0.4444444444444444,0.13333333333333333,0.15555555555555556,1.3777777777777778
Drew Eubanks,81.0,245.0,92.0,37.0,12.0,55.0,14.0,18.0,11.0,4.0,0.792,1.0,0.667,15.2,0.6,0.3,0.3,14.9,0.0,-2.5,0.713,2.4864864864864864,0.32432432432432434,0.4864864864864865,0.2972972972972973,0.10810810810810811,1.864864864864865
Keldon Johnson,77.0,211.0,41.0,9.0,6.0,12.0,5.0,3.0,1.0,5.0,0.7,0.4,0.516,16.6,0.2,0.2,0.1,18.1,0.0,-0.9,0.579,4.555555555555555,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.5555555555555556,1.8888888888888888
Tyler Zeller,84.0,253.0,2871.0,412.0,367.0,1182.0,634.0,348.0,241.0,104.0,0.764,0.286,0.509,14.9,17.1,10.4,6.6,17.8,0.0,-2.0,0.554,6.968446601941747,0.8907766990291263,0.8446601941747572,0.5849514563106796,0.2524271844660194,4.407766990291262
Terence Davis,76.0,205.0,495.0,64.0,107.0,171.0,46.0,65.0,12.0,32.0,0.865,0.396,0.463,14.5,3.0,1.4,1.6,18.9,0.9,1.3,0.598,7.734375,1.671875,1.015625,0.1875,0.5,3.390625
OG Anunoby,79.0,232.0,1582.0,204.0,201.0,546.0,176.0,175.0,78.0,186.0,0.638,0.362,0.48,11.2,10.1,3.5,6.6,14.1,1.8,-0.5,0.578,7.754901960784314,0.9852941176470589,0.8578431372549019,0.38235294117647056,0.9117647058823529,3.5392156862745097
Chris Boucher,81.0,200.0,441.0,84.0,25.0,189.0,110.0,30.0,77.0,26.0,0.805,0.292,0.454,20.2,3.9,1.9,2.0,20.2,0.8,1.6,0.567,5.25,0.2976190476190476,0.35714285714285715,0.9166666666666666,0.30952380952380953,3.5595238095238093
Pascal Siakam,81.0,230.0,3425.0,269.0,615.0,1173.0,324.0,386.0,188.0,214.0,0.766,0.333,0.504,16.8,20.7,10.3,10.4,20.7,6.1,1.5,0.58,12.732342007434944,2.2862453531598512,1.4349442379182156,0.6988847583643123,0.7955390334572491,5.565055762081784
Kyle Lowry,72.0,196.0,13381.0,908.0,5623.0,3171.0,734.0,2101.0,263.0,1226.0,0.809,0.366,0.423,18.4,93.5,63.1,30.4,21.7,38.0,3.2,0.565,14.736784140969164,6.192731277533039,2.313876651982379,0.289647577092511,1.3502202643171806,4.3006607929515415
Rondae Hollis-Jefferson,78.0,217.0,2690.0,286.0,550.0,1208.0,421.0,380.0,157.0,274.0,0.738,0.214,0.448,14.7,12.3,4.0,8.3,19.6,2.2,-0.7,0.518,9.405594405594405,1.9230769230769231,1.3286713286713288,0.548951048951049,0.958041958041958,5.695804195804197
Norman Powell,75.0,215.0,2531.0,299.0,387.0,604.0,95.0,297.0,70.0,212.0,0.816,0.359,0.457,13.5,11.5,4.7,6.8,19.9,2.3,-0.3,0.569,8.464882943143813,1.294314381270903,0.9933110367892977,0.23411371237458195,0.7090301003344481,2.3377926421404682
Patrick McCaw,79.0,185.0,755.0,194.0,266.0,253.0,63.0,123.0,31.0,137.0,0.779,0.305,0.419,7.8,4.2,0.5,3.7,11.2,-0.7,-2.8,0.51,3.8917525773195876,1.3711340206185567,0.634020618556701,0.15979381443298968,0.7061855670103093,1.6288659793814433
Matt Thomas,76.0,190.0,150.0,33.0,17.0,41.0,7.0,12.0,0.0,8.0,0.7,0.467,0.486,13.6,0.9,0.5,0.4,17.0,0.3,1.4,0.65,4.545454545454546,0.5151515151515151,0.36363636363636365,0.0,0.24242424242424243,1.4545454545454546
Malcolm Miller,79.0,210.0,96.0,50.0,12.0,28.0,6.0,9.0,5.0,6.0,0.571,0.393,0.41,8.3,0.5,0.2,0.3,12.7,0.0,-1.6,0.57,1.92,0.24,0.18,0.1,0.12,0.68
Stanley Johnson,78.0,245.0,2008.0,305.0,431.0,822.0,164.0,351.0,66.0,270.0,0.765,0.291,0.372,8.6,3.2,-4.7,7.9,17.5,-1.5,-2.9,0.465,6.583606557377049,1.4131147540983606,1.1508196721311474,0.21639344262295082,0.8852459016393442,3.2327868852459014
Oshae Brissett,79.0,210.0,37.0,19.0,7.0,17.0,9.0,7.0,1.0,4.0,0.8,0.2,0.361,6.7,0.1,-0.1,0.2,15.0,-0.1,-5.4,0.458,1.9473684210526316,0.3684210526315789,0.3684210526315789,0.05263157894736842,0.21052631578947367,1.368421052631579
Paul Watson,79.0,215.0,1.0,5.0,5.0,4.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,-0.5,-0.1,-0.1,0.0,14.8,0.0,-7.3,0.056,0.2,1.0,0.0,0.2,0.2,0.8
Royce O'Neale,76.0,226.0,1169.0,215.0,382.0,791.0,69.0,175.0,68.0,137.0,0.772,0.38,0.447,9.6,9.7,3.1,6.6,11.2,2.5,0.1,0.572,5.437209302325582,1.7767441860465116,0.813953488372093,0.31627906976744186,0.6372093023255814,4.0
Donovan Mitchell,73.0,215.0,4970.0,219.0,877.0,733.0,155.0,600.0,70.0,290.0,0.821,0.355,0.44,17.5,15.4,5.7,9.7,30.6,6.5,1.4,0.545,22.69406392694064,4.004566210045662,2.73972602739726,0.319634703196347,1.3242009132420092,4.054794520547945
Georges Niang,79.0,230.0,601.0,149.0,78.0,194.0,28.0,57.0,11.0,28.0,0.84,0.395,0.444,11.7,2.7,1.2,1.5,17.6,0.5,-0.6,0.583,4.033557046979865,0.5234899328859061,0.3825503355704698,0.0738255033557047,0.18791946308724833,1.4899328859060401
Tony Bradley,82.0,248.0,258.0,62.0,19.0,139.0,103.0,26.0,27.0,14.0,0.659,0.5,0.626,21.0,2.8,1.8,1.0,16.6,0.4,0.4,0.641,4.161290322580645,0.3064516129032258,0.41935483870967744,0.43548387096774194,0.22580645161290322,3.903225806451613
