Name,Career Height,Career Weight,Career Points,Career Games,Career Assists,Career Def Rebounds,Career Off Rebounds,Career Turnovers,Career Blocks,Career Steals,Career Free Throw Percentage,Career Three Point Percentage,Career Field Goal Percentage,Career Win Shares,Offensive Win Shares,Defensive Win Shares,Career Usage Percentage,Box Plus Minus,True Shooting Per,PPG,APG,TPG,BPG,SPG,RPG
Michael Carter-Williams,78.0,185.0,544.0,66.0,345.0,177.0,60.0,154.0,27.0,129.0,0.679,0.307,0.398,7.4,3.3,4.0,21.3,9.2,0.493,8.242424242424242,5.2272727272727275,2.3333333333333335,0.4090909090909091,1.9545454545454546,3.590909090909091
Khem Birch,81.0,220.0,611.0,69.0,55.0,324.0,212.0,82.0,211.0,41.0,0.668,-999.0,0.531,8.7,4.4,4.3,17.6,8.0,0.576,8.855072463768115,0.7971014492753623,1.1884057971014492,3.0579710144927534,0.5942028985507246,7.768115942028986
Jonathan Isaac,82.0,210.0,383.0,32.0,37.0,195.0,56.0,48.0,49.0,37.0,0.78,0.348,0.508,4.3,2.4,1.9,20.3,10.0,0.614,11.96875,1.15625,1.5,1.53125,1.15625,7.84375
Al-Farouq Aminu,81.0,215.0,892.0,62.0,87.0,381.0,204.0,180.0,82.0,74.0,0.687,0.238,0.476,8.3,3.9,4.4,27.5,-999.0,0.541,14.387096774193548,1.403225806451613,2.903225806451613,1.3225806451612903,1.1935483870967742,9.435483870967742
Gary Clark,76.0,200.0,560.0,109.0,74.0,93.0,29.0,84.0,8.0,68.0,0.752,0.434,0.451,3.2,2.2,1.0,18.5,2.1,0.573,5.137614678899083,0.6788990825688074,0.7706422018348624,0.07339449541284404,0.6238532110091743,1.1192660550458715
Melvin Frazier,77.0,200.0,997.0,94.0,156.0,298.0,115.0,187.0,45.0,152.0,0.653,0.312,0.481,6.5,3.1,3.4,20.6,3.2,0.56,10.606382978723405,1.6595744680851063,1.9893617021276595,0.4787234042553192,1.6170212765957446,4.3936170212765955
James Ennis,79.0,210.0,886.0,67.0,158.0,255.0,107.0,168.0,69.0,112.0,0.788,0.354,0.493,9.0,5.6,3.3,21.5,6.9,0.615,13.223880597014926,2.3582089552238807,2.5074626865671643,1.0298507462686568,1.671641791044776,5.402985074626866
B.J. Johnson,75.0,193.0,15.0,29.0,4.0,5.0,3.0,7.0,1.0,8.0,,0.0,0.188,0.0,-0.2,0.1,-999.0,-999.0,0.338,0.5172413793103449,0.13793103448275862,0.2413793103448276,0.034482758620689655,0.27586206896551724,0.27586206896551724
Vic Law,79.0,200.0,1442.0,125.0,254.0,572.0,138.0,215.0,77.0,119.0,0.774,0.368,0.402,11.6,5.1,6.4,22.4,5.1,0.525,11.536,2.032,1.72,0.616,0.952,5.68
Tobias Harris,80.0,226.0,521.0,34.0,44.0,180.0,67.0,62.0,29.0,24.0,0.753,0.303,0.46,4.4,2.9,1.5,27.2,7.3,0.54,15.323529411764707,1.2941176470588236,1.8235294117647058,0.8529411764705882,0.7058823529411765,7.264705882352941
